kab_full,APS
Kabupaten Pacitan,99.55
Kabupaten Ponorogo,98.47
Kabupaten Trenggalek,99.38
Kabupaten Tulungagung,99.6
Kabupaten Blitar,99.53
Kabupaten Kediri,99.99
Kabupaten Malang,99.61
Kabupaten Lumajang,97.87
Kabupaten Jember,98.83
Kabupaten Banyuwangi,99.61
Kabupaten Bondowoso,97.86
Kabupaten Situbondo,99.28
Kabupaten Probolinggo,99.56
Kabupaten Pasuruan,98.99
Kabupaten Sidoarjo,99.82
Kabupaten Mojokerto,99.52
Kabupaten Jombang,99.74
Kabupaten Nganjuk,99.24
Kabupaten Madiun,98.05
Kabupaten Magetan,98.62
Kabupaten Ngawi,99.85
Kabupaten Bojonegoro,99.77
Kabupaten Tuban,99.65
Kabupaten Lamongan,99.99
Kabupaten Gresik,99.33
Kabupaten Bangkalan,99.94
Kabupaten Sampang,99.97
Kabupaten Pamekasan,99.31
Kabupaten Sumenep,98.4
Kota Kediri,98.95
Kota Blitar,99.96
Kota Malang,99.05
Kota Probolinggo,99.28
Kota Pasuruan,99.94
Kota Mojokerto,98.97
Kota Madiun,99.65
Kota Surabaya,98.81
Kota Batu,99.92
Jawa Timur,99.34
