kabupaten_/_kota,angka_partisipasi_kasar_2024,angka_partisipasi_murni_2024,usia_harapan_hidup_2024,harapan_lama_sekolah_2024,rata-rata_lama_sekolah_2024,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024,indeks_pembangunan_manusia_2024,kuadran_ipm_-_apm,kabupaten/kota,jumlah_sekolah_sd_(negeri),jumlah_sekolah_sd_(swasta),jumlah_sekolah_sd_(negeri+swasta),jumlah_guru_sd_(negeri),jumlah_guru_sd_(swasta),jumlah_guru_sd_(negeri+swasta),jumlah_murid_sd_(negeri),jumlah_murid_sd_(swasta),jumlah_murid_sd_(negeri+swasta)
Kab. Pacitan,101.87,95.28,74.74,12.69,7.9,10.099,71.49,II,Pacitan,408,11,419,3614,161,3775,29126,2777,31903
Kab. Ponorogo,101.81,96.63,75.28,13.78,7.8,11.065,73.7,II,Ponorogo,550,21,571,4031,390,4421,40943,6588,47531
Kab. Trenggalek,100.64,96.39,75.35,12.63,7.92,10.872,72.47,II,Trenggalek,417,21,438,3405,239,3644,35871,3742,39613
Kab. Tulungagung,103.4,99.5,75.2,13.36,8.68,11.966,75.13,I,Tulungagung,569,63,632,5587,810,6397,52132,11076,63208
Kab. Blitar,100.08,95.91,75.32,12.67,7.87,12.02,73.44,II,Blitar,634,32,666,5629,371,6000,54552,6581,61133
Kab. Kediri,100.6,95.75,75.07,13.63,8.26,12.388,75.18,I,Kediri,611,91,702,5492,772,6264,75986,16403,92389
Kab. Malang,100.8,95.68,75.34,13.49,7.8,11.19,73.53,II,Malang,1061,96,1157,8581,1075,9656,147200,20118,167318
Kab. Lumajang,101.35,95.44,74.57,12.41,7.27,10.124,70.31,II,Lumajang,525,33,558,3681,428,4109,58398,6048,64446
Kab. Jember,100.81,95.81,74.17,13.5,6.54,10.7,70.93,II,Jember,904,145,1049,7341,1409,8750,140356,22240,162596
Kab. Banyuwangi,100.55,95.64,74.13,13.14,7.78,13.32,74.3,II,Banyuwangi,746,60,806,6231,659,6890,90778,11596,102374
Kab. Bondowoso,102.5,95.31,73.31,13.33,6.53,11.689,71.22,II,Bondowoso,441,24,465,4590,264,4854,45993,3457,49450
Kab. Situbondo,104.72,96.86,73.36,13.2,6.93,11.216,71.22,II,Situbondo,397,29,426,3888,342,4230,39590,4486,44076
Kab. Probolinggo,105.75,97.95,73.93,12.64,6.31,12.258,70.85,II,Probolinggo,572,52,624,4638,463,5101,64076,6638,70714
Kab. Pasuruan,102.27,96.2,74.61,12.78,7.46,11.617,72.36,II,Pasuruan,652,67,719,6556,734,7290,106755,12017,118772
Kab. Sidoarjo,104.5,99.4,75.63,15.22,10.91,15.71,82.67,I,Sidoarjo,463,122,585,6310,2197,8507,106836,35083,141919
Kab. Mojokerto,99.83,95.31,74.95,12.99,9.13,13.903,76.69,I,Mojokerto,385,36,421,3923,396,4319,53835,5313,59148
Kab. Jombang,100.54,95.96,74.64,13.61,8.78,12.454,75.67,I,Jombang,474,48,522,3693,513,4206,60136,7927,68063
Kab. Nganjuk,99.87,95.57,74.64,13.18,8.25,13.376,75.24,I,Nganjuk,573,35,608,5089,294,5383,61081,6256,67337
Kab. Madiun,101.58,96.46,74.79,13.27,8.2,12.668,74.81,II,Madiun,401,4,405,3186,65,3251,33715,1341,35056
Kab. Magetan,102.03,96.47,75.42,14.08,8.69,12.915,76.77,I,Magetan,385,18,403,3591,222,3813,28537,5677,34214
Kab. Ngawi,102.56,96.75,75.21,12.89,7.84,12.414,73.91,II,Ngawi,475,30,505,4195,362,4557,39230,5946,45176
Kab. Bojonegoro,101.96,97.01,74.91,13.18,7.59,11.204,72.75,II,Bojonegoro,692,19,711,6001,167,6168,62472,3971,66443
Kab. Tuban,99.37,95.43,74.95,12.54,7.53,11.579,72.31,II,Tuban,541,26,567,4520,383,4903,58559,5873,64432
Kab. Lamongan,102.29,97.01,75.07,14.03,8.48,12.419,75.9,I,Lamongan,594,42,636,5349,410,5759,43432,5913,49345
Kab. Gresik,102.35,97.44,74.48,13.98,10.03,14.356,78.93,I,Gresik,389,76,465,4153,900,5053,57524,16530,74054
Kab. Bangkalan,107.74,98.7,73.43,11.98,6.01,9.841,67.33,II,Bangkalan,614,66,680,5071,441,5512,91100,7533,98633
Kab. Sampang,110.7,96.22,73.66,12.55,5.08,9.782,66.72,II,Sampang,511,118,629,4505,609,5114,64120,9693,73813
Kab. Pamekasan,108.24,99.14,73.66,13.69,7.17,9.811,70.85,II,Pamekasan,411,65,476,4472,569,5041,50519,8956,59475
Kab. Sumenep,108.02,98.84,73.86,13.59,6.1,10.156,69.78,II,Sumenep,550,84,634,5713,700,6413,47540,6214,53754
Kota Kediri,113.14,95.44,75.94,15.71,10.92,13.67,81.88,I,Kota Kediri,111,29,140,1201,473,1674,17493,7148,24641
Kota Blitar,101.05,96.63,75.2,14.81,10.82,14.933,81.44,I,Kota Blitar,48,15,63,550,242,792,8509,3660,12169
Kota Malang,104.53,99.54,75.54,15.79,11.14,17.791,84.68,I,Kota Malang,195,92,287,2570,1495,4065,46783,22625,69408
Kota Probolinggo,102.98,99.12,74.31,13.98,9.72,13.405,77.79,I,Kota Probolinggo,75,11,86,838,141,979,15871,2404,18275
Kota Pasuruan,100.25,96.33,74.86,13.67,9.94,14.664,78.9,I,Kota Pasuruan,46,21,67,766,289,1055,12560,5000,17560
Kota Mojokerto,99.92,95.41,75.99,14.13,11.38,14.842,81.76,I,Kota Mojokerto,44,11,55,499,236,735,7979,3289,11268
Kota Madiun,102.55,98.18,75.67,14.54,12.11,17.518,84.51,I,Kota Madiun,52,16,68,671,160,831,10646,2846,13492
Kota Surabaya,100.19,95.49,76.02,14.87,10.89,19.666,84.69,I,Kota Surabaya,284,367,651,5782,5642,11424,125414,87998,213412
Kota Batu,100.56,96.37,75.36,14.58,9.87,14.253,79.69,I,Kota Batu,64,15,79,759,246,1005,11369,3813,15182
