kabupaten/kota,jumlah_sekolah_sd_(negeri),jumlah_sekolah_sd_(swasta),jumlah_sekolah_sd_(negeri+swasta),jumlah_guru_sd_(negeri),jumlah_guru_sd_(swasta),jumlah_guru_sd_(negeri+swasta),jumlah_murid_sd_(negeri),jumlah_murid_sd_(swasta),jumlah_murid_sd_(negeri+swasta)
Pacitan,408,11,419,3614,161,3775,29126,2777,31903
Ponorogo,550,21,571,4031,390,4421,40943,6588,47531
Trenggalek,417,21,438,3405,239,3644,35871,3742,39613
Tulungagung,569,63,632,5587,810,6397,52132,11076,63208
Blitar,634,32,666,5629,371,6000,54552,6581,61133
Kediri,611,91,702,5492,772,6264,75986,16403,92389
Malang,1061,96,1157,8581,1075,9656,147200,20118,167318
Lumajang,525,33,558,3681,428,4109,58398,6048,64446
Jember,904,145,1049,7341,1409,8750,140356,22240,162596
Banyuwangi,746,60,806,6231,659,6890,90778,11596,102374
Bondowoso,441,24,465,4590,264,4854,45993,3457,49450
Situbondo,397,29,426,3888,342,4230,39590,4486,44076
Probolinggo,572,52,624,4638,463,5101,64076,6638,70714
Pasuruan,652,67,719,6556,734,7290,106755,12017,118772
Sidoarjo,463,122,585,6310,2197,8507,106836,35083,141919
Mojokerto,385,36,421,3923,396,4319,53835,5313,59148
Jombang,474,48,522,3693,513,4206,60136,7927,68063
Nganjuk,573,35,608,5089,294,5383,61081,6256,67337
Madiun,401,4,405,3186,65,3251,33715,1341,35056
Magetan,385,18,403,3591,222,3813,28537,5677,34214
Ngawi,475,30,505,4195,362,4557,39230,5946,45176
Bojonegoro,692,19,711,6001,167,6168,62472,3971,66443
Tuban,541,26,567,4520,383,4903,58559,5873,64432
Lamongan,594,42,636,5349,410,5759,43432,5913,49345
Gresik,389,76,465,4153,900,5053,57524,16530,74054
Bangkalan,614,66,680,5071,441,5512,91100,7533,98633
Sampang,511,118,629,4505,609,5114,64120,9693,73813
Pamekasan,411,65,476,4472,569,5041,50519,8956,59475
Sumenep,550,84,634,5713,700,6413,47540,6214,53754
Kota Kediri,111,29,140,1201,473,1674,17493,7148,24641
Kota Blitar,48,15,63,550,242,792,8509,3660,12169
Kota Malang,195,92,287,2570,1495,4065,46783,22625,69408
Kota Probolinggo,75,11,86,838,141,979,15871,2404,18275
Kota Pasuruan,46,21,67,766,289,1055,12560,5000,17560
Kota Mojokerto,44,11,55,499,236,735,7979,3289,11268
Kota Madiun,52,16,68,671,160,831,10646,2846,13492
Kota Surabaya,284,367,651,5782,5642,11424,125414,87998,213412
Kota Batu,64,15,79,759,246,1005,11369,3813,15182
Jawa Timur,16864,2111,18975,156671,25269,181940,2097016,404776,2501792
